Name,Categories,Tags,File URL,Direct URL,Featured Image URL,File Size,Excerpt,Content,Published,cf:custom_field_1,cf:custom_field_2
"January 14, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-14-2013-agenda-amended.pdf,,,,,,TRUE,,
"January 14, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-14-2019-agenda.pdf,,,,,,TRUE,,
"January 22, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-22-2018-agenda.pdf,,,,,,TRUE,,
"January 23, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-23-2012-agenda.pdf,,,,,,TRUE,,
"January 23, 2017 - Agenda",Agendas > 2017 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-23-2017-vil-board-mtg-agenda.pdf,,,,,,TRUE,,
"January 24, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-24-2011-agenda.pdf,,,,,,TRUE,,
"January 24, 2022 - Agenda",Agendas > 2022 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-24-2022-agenda.pdf,,,,,,TRUE,,
"January 25, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-25-2010-agenda.pdf,,,,,,TRUE,,
"January 25, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-25-2016-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"January 25, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-25-2021-agenda.pdf,,,,,,TRUE,,
"January 8, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-08-2018-agenda.pdf,,,,,,TRUE,,
"January 9, 2012 - Agenda",Agendas > 2012 Agendas ,,https://villageofcrete.org/wp-content/uploads/2022/06/01-09-2012-agenda.pdf,,,,,,TRUE,,
"January 9, 2012 - Agenda",Agendas > 2012 Agendas ,,https://villageofcrete.org/wp-content/uploads/2022/06/01-09-2012-agenda-corrected.pdf,,,,,,TRUE,,
"January 9, 2017 - Agenda",Agendas > 2017 Agendas ,,https://villageofcrete.org/wp-content/uploads/2022/06/01-09-2017-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"January 10, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-10-2011-agenda.pdf,,,,,,TRUE,,
"January 10, 2022 - Agenda",Agendas > 2022 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-10-2022-agenda.pdf,,,,,,TRUE,,
"January 11, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-11-2010-agenda.pdf,,,,,,TRUE,,
"January 11, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-11-2016-village-board-agenda.pdf,,,,,,TRUE,,
"January 11, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-11-2021-agenda.pdf,,,,,,TRUE,,
"January 12, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-12-2015-agenda.pdf,,,,,,TRUE,,
"January 13, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-13-2014-agenda.pdf,,,,,,TRUE,,
"January 13, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-13-2020-agenda.pdf,,,,,,TRUE,,
"January 14, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-14-2015-pension-board-agenda.pdf,,,,,,TRUE,,
"January 14, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-14-2013-agenda.pdf,,,,,,TRUE,,
"January 27, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-27-2020-agenda.pdf,,,,,,TRUE,,
"January 28, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-28-2013-agenda.pdf,,,,,,TRUE,,
"January 28, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-28-2019-agenda.pdf,,,,,,TRUE,,
"February 8, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-08-2010-agenda.pdf,,,,,,TRUE,,
"February 8, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-08-2016-village-board-agenda.pdf,,,,,,TRUE,,
"February 8, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-08-2021-agenda.pdf,,,,,,TRUE,,
"February 10, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-10-2014-agenda.pdf,,,,,,TRUE,,
"February 10, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-10-2020-agenda.pdf,,,,,,TRUE,,
"February 11, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-11-2013-agenda.pdf,,,,,,TRUE,,
"February 11, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-11-2019-agenda.pdf,,,,,,TRUE,,
"February 12, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-12-2018-agenda.pdf,,,,,,TRUE,,
"February 13, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-13-2012-agenda.pdf,,,,,,TRUE,,
"February 13, 2017 - Agenda",Agendas > 2017 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-13-2017-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"February 14, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-14-2011-agenda.pdf,,,,,,TRUE,,
"February 14, 2022 - Agenda",Agendas > 2022 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-14-2022-agenda.pdf,,,,,,TRUE,,
"February 19, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-19-2010-agenda.pdf,,,,,,TRUE,,
"February 22, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-22-2010-agenda.pdf,,,,,,TRUE,,
"February 22, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-22-2016-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"February 22, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-22-2020-agenda.pdf,,,,,,TRUE,,
"February 23, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-23-2015-agenda.pdf,,,,,,TRUE,,
"February 24, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-24-2014-agenda.pdf,,,,,,TRUE,,
"February 24, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-24-2020-agenda.pdf,,,,,,TRUE,,
"February 25, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-25-2013-agenda.pdf,,,,,,TRUE,,
"January 26, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-26-2015-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"January 27, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/01-27-2014-agenda.pdf,,,,,,TRUE,,
"February 26, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-26-2018-agenda.pdf,,,,,,TRUE,,
"February 27, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-27-2012-agenda.pdf,,,,,,TRUE,,
"February 27, 2017 - Agenda",Agendas > 2017 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-27-2017-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"February 28, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-28-2011-agenda.pdf,,,,,,TRUE,,
"February 28, 2022 - Agenda",Agendas > 2022 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-28-2022-agenda.pdf,,,,,,TRUE,,
"March 1, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-01-2010-special-meeting-agenda.pdf,,,,,,TRUE,,
"March 8, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-08-2010-agenda.pdf,,,,,,TRUE,,
"March 8, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-08-2021-agenda.pdf,,,,,,TRUE,,
"March 9, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-09-2015-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"March 9, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-09-2020-agenda.pdf,,,,,,TRUE,,
"March 10, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-10-2014-agenda.pdf,,,,,,TRUE,,
"March 11, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-11-2013-agenda.pdf,,,,,,TRUE,,
"March 11, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-11-2019-agenda.pdf,,,,,,TRUE,,
"March 12, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-12-2012-agenda.pdf,,,,,,TRUE,,
"March 12, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-12-2018-agenda.pdf,,,,,,TRUE,,
"March 13, 2017 - Agenda",Agendas > 2017 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-13-2017-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"March 14, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-14-2011-agenda.pdf,,,,,,TRUE,,
"March 14, 2022 - Agenda",Agendas > 2022 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-14-2022-agenda.pdf,,,,,,TRUE,,
"March 22, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-22-2010-agenda.pdf,,,,,,TRUE,,
"March 22, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-22-2021-agenda.pdf,,,,,,TRUE,,
"March 23, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-23-2015-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"March 24, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-24-2014-agenda.pdf,,,,,,TRUE,,
"March 25, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-25-2013-agenda.pdf,,,,,,TRUE,,
"March 25, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-25-2019-agenda.pdf,,,,,,TRUE,,
"February 25, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/02-25-2019-agenda.pdf,,,,,,TRUE,,
"April 8, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-08-2013-agenda.pdf,,,,,,TRUE,,
"April 8, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-08-2015-police-pension-fund-agenda.pdf,,,,,,TRUE,,
"April 8, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-08-2019-agenda.pdf,,,,,,TRUE,,
"April 9, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-09-2012-agenda.pdf,,,,,,TRUE,,
"April 9, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-09-2012-agenda-amended.pdf,,,,,,TRUE,,
"April 9, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-09-2018-agenda.pdf,,,,,,TRUE,,
"April 10, 2017 - Agenda",Agendas > 2017 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-10-2017-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"April 11, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-11-2016-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"April 12, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-12-2010-agenda.pdf,,,,,,TRUE,,
"April 12, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-12-2021-agenda.pdf,,,,,,TRUE,,
"April 13, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-13-2015-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"April 13, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-13-2020-agenda.pdf,,,,,,TRUE,,
"April 14, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-14-2014-agenda.pdf,,,,,,TRUE,,
"April 20, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-20-2016-fire-and-police-commission-agenda.pdf,,,,,,TRUE,,
"April 22, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-22-2013-agenda.pdf,,,,,,TRUE,,
"April 22, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-22-2019-agenda.pdf,,,,,,TRUE,,
"April 23, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-23-2012-agenda.pdf,,,,,,TRUE,,
"March 26, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-26-2012-agenda.pdf,,,,,,TRUE,,
"March 26, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-26-2018-agenda.pdf,,,,,,TRUE,,
"March 27, 2017 - Agenda",Agendas > 2017 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-27-2017-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"March 28, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-28-2011-agenda.pdf,,,,,,TRUE,,
"March 28, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-28-2016-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"March 28, 2022 - Agenda",Agendas > 2022 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/03-28-2022-amended-agenda.pdf,,,,,,TRUE,,
"March 14, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/3-14-2016-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"April 6, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-06-2016-agenda-comm-of-the-whole-mtg.pdf,,,,,,TRUE,,
"April 24, 2017 - Agenda",Agendas > 2017 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-24-2017-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"April 25, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-25-2011-agenda.pdf,,,,,,TRUE,,
"April 25, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-25-2016-village-board-agenda.pdf,,,,,,TRUE,,
"April 25, 2022 - Agenda",Agendas > 2022 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-25-2022-agenda.pdf,,,,,,TRUE,,
"April 26, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-26-2010-agenda.pdf,,,,,,TRUE,,
"April 26, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-26-2021-agenda.pdf,,,,,,TRUE,,
"April 27, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-27-2015-village-board-agenda.pdf,,,,,,TRUE,,
"April 27, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-27-2020-agenda.pdf,,,,,,TRUE,,
"April 28, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-28-2014-agenda.pdf,,,,,,TRUE,,
"May 8, 2017 - Agenda",Agendas > 2017 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-08-2017-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"May 8, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-08-2020-agenda.pdf,,,,,,TRUE,,
"May 9, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-09-2011-agenda.pdf,,,,,,TRUE,,
"May 9, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-09-2016-village-board-agenda.pdf,,,,,,TRUE,,
"May 9, 2022 - Agenda",Agendas > 2022 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-09-2022-agenda.pdf,,,,,,TRUE,,
"May 10, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-10-2010-agenda.pdf,,,,,,TRUE,,
"May 10, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-10-2021-amended-agenda.pdf,,,,,,TRUE,,
"May 11, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-11-2015-village-board-agenda.pdf,,,,,,TRUE,,
"May 12, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-12-2014-agenda.pdf,,,,,,TRUE,,
"May 13, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-13-2013-agenda.pdf,,,,,,TRUE,,
"May 13, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-13-2019-agenda.pdf,,,,,,TRUE,,
"May 14, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-14-2012-agenda-amended.pdf,,,,,,TRUE,,
"May 14, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-14-2018-agenda.pdf,,,,,,TRUE,,
"May 22, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-22-2014-agenda.pdf,,,,,,TRUE,,
"May 22, 2017 - Agenda",Agendas > 2017 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-22-2017-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"April 23, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/04-23-2018-agenda.pdf,,,,,,TRUE,,
"June 24, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-24-2013-agenda.pdf,,,,,,TRUE,,
"June 24, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-24-2019-agenda.pdf,,,,,,TRUE,,
"May 23, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-23-2011-agenda.pdf,,,,,,TRUE,,
"May 23, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-23-2016-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"May 24, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-24-2010-agenda.pdf,,,,,,TRUE,,
"May 24, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-24-2012-agenda.pdf,,,,,,TRUE,,
"May 24, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-24-2021-agenda.pdf,,,,,,TRUE,,
"May 27, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-27-2011-agenda.pdf,,,,,,TRUE,,
"May 27, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-27-2015-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"May 29, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/05-29-2013-agenda.pdf,,,,,,TRUE,,
"June 8, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-08-2015-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"June 8, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-08-2020-agenda.pdf,,,,,,TRUE,,
"June 9, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-09-2014-agenda.pdf,,,,,,TRUE,,
"June 10, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-10-2013-agenda.pdf,,,,,,TRUE,,
"June 10, 2019 - Agenda",Agendas > 2019 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-10-2019-agenda.pdf,,,,,,TRUE,,
"June 11, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-11-2012-agenda.pdf,,,,,,TRUE,,
"June 11, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-11-2018-agenda.pdf,,,,,,TRUE,,
"June 13, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-13-2011-agenda.pdf,,,,,,TRUE,,
"June 13, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-13-2016-village-board-mtg-agenda.pdf,,,,,,TRUE,,
"June 13, 2022 - Agenda",Agendas > 2022 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-13-2022-agenda.pdf,,,,,,TRUE,,
"June 14, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-14-2010-agenda.pdf,,,,,,TRUE,,
"June 14, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-14-2021-agenda.pdf,,,,,,TRUE,,
"June 22, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-22-2015-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"June 22, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-22-2020-agenda.pdf,,,,,,TRUE,,
"June 23, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-23-2014-agenda-amended.pdf,,,,,,TRUE,,
"July 11, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-11-2016-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"July 12, 2010 - Agenda",Agendas > 2010 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-12-10-agenda.pdf,,,,,,TRUE,,
"July 12, 2021 - Agenda",Agendas > 2021 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-12-2021-agenda.pdf,,,,,,TRUE,,
"July 13, 2015 - Agenda",Agendas > 2015 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-13-2015-village-board-agenda.pdf,,,,,,TRUE,,
"July 13, 2020 - Agenda",Agendas > 2020 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-13-2020-agenda.pdf,,,,,,TRUE,,
"July 14, 2014 - Agenda",Agendas > 2014 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-14-2014-agenda.pdf,,,,,,TRUE,,
"July 22, 2013 - Agenda",Agendas > 2013 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-22-2013-agenda.pdf,,,,,,TRUE,,
"July 23, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-23-2012-agenda.pdf,,,,,,TRUE,,
"July 23, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-23-2018-agenda.pdf,,,,,,TRUE,,
"July 25, 2011 - Agenda",Agendas > 2011 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-25-2011-agenda.pdf,,,,,,TRUE,,
"July 25, 2016 - Agenda",Agendas > 2016 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/07-25-2016-village-board-meeting-agenda.pdf,,,,,,TRUE,,
"June 25, 2012 - Agenda",Agendas > 2012 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-25-2012-agenda.pdf,,,,,,TRUE,,
"June 25, 2018 - Agenda",Agendas > 2018 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-25-2018-agenda.pdf,,,,,,TRUE,,
"June 26, 2017 - Agenda",Agendas > 2017 Agendas,,https://villageofcrete.org/wp-content/uploads/2022/06/06-26-2017-amended-village-board-meeting-agenda.pdf,,,,,,TRUE,,
