Name,Categories,Tags,File URL,Direct URL,Featured Image URL,File Size,Excerpt,Content,Published,cf:custom_field_1,cf:custom_field_2
"July 12, 2022 - Agenda",Agendas > 2022,,https://cretetownship.com/wp-content/uploads/2022/07/July132022Board-Meetingagenda-.pdf,,,,,,,,
"June 6, 2022 - Agenda",Agendas > 2022,,https://cretetownship.com/wp-content/uploads/2022/06/BOARD-MEETING-AGENDA-6-8-2022.pdf,,,,,,,,
"April 13, 2022 - Agenda",Agendas > 2022,,https://cretetownship.com/wp-content/uploads/2022/05/April132022Board-Meetingagenda-1.pdf,,,,,,,,
"May 2, 2022 - Agenda",Agendas > 2022,,https://cretetownship.com/wp-content/uploads/2022/05/May22022SpecialBoard-Meetingagenda-1.pdf,,,,,,,,
"May 11, 2022 - Special Agenda",Agendas > 2022,,https://cretetownship.com/wp-content/uploads/2022/05/May112022Board-Meetingagenda.pdf,,,,,,,,
"May 22, 2022 - Agenda",Agendas > 2022,,https://cretetownship.com/wp-content/uploads/2022/05/May22022SpecialBoard-Meetingagenda.pdf,,,,,,,,
"March 9, 2022 - Agenda",Agendas > 2022,,https://cretetownship.com/wp-content/uploads/2022/03/agenda-3-9-2022.pdf,,,,,,,,
"February 9, 2022 - Agenda",Agendas > 2022,,https://cretetownship.com/wp-content/uploads/2022/02/Agenda-2-9-2022.pdf,,,,,,,,
"June 10, 2022 - Agenda",Agendas > 2020,,https://cretetownship.com/wp-content/uploads/2020/06/Board-Meeting-Agenda-6-10-2020-1.pdf,,,,,,,,
"August 10, 2022 - Agenda",Agendas > 2022,,https://cretetownship.com/wp-content/uploads/2022/08/August102022Board-Meetingagenda_.pdf,,,,,,,,
"May 11, 2022 - Agenda",Agendas > 2022,,https://cretetownship.com/wp-content/uploads/2022/05/Agenda-5-11-2022.pdf,,,,,,,,
2022 Annual Town Meeting,Annual Town Meetings,,https://cretetownship.com/wp-content/uploads/2022/03/Annual-Town-Meeting-4-12-2022.pdf,,,,,,,,
"March 9, 2022 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2022/07/March092022BODminutes-1.pdf,,,,,,,,
"May 11, 2022 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2022/06/Board-Meeting-Minutes-5-11-2022.pdf,,,,,,,,
"May 2, 2022 - Special Board Meeting Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2022/05/Mayy2SpecialBODmeetingminutes.pdf,,,,,,,,
"April 13, 2022  - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2022/05/Board-Meeting-Minutes-4-13-2022.pdf,,,,,,,,
"January 12, 2022 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2022/02/Board-Meeting-Minutes-1-12-2022.pdf,,,,,,,,
"January 13, 2021 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2021/01/Board-Meeting-Minutes-1-13-2021.pdf,,,,,,,,
"February 10, 2021 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2021/03/Board-Meeting-Minutes-2-10-2021.pdf,,,,,,,,
"March 10, 2021 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2021/03/Board-Meeting-Minutes-3-10-2021.pdf,,,,,,,,
"April 14, 2021 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2021/04/Board-Meeting-Minutes-4-14-2021.pdf,,,,,,,,
"May 12, 2021 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2021/05/Board-Meeting-Minutes-5-12-2021.pdf,,,,,,,,
"October 14, 2020 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2020/10/Board-Meeting-Minutes-10-14-2020.pdf,,,,,,,,
"September 9, 2020 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2020/03/Board-Meeting-Minutes-9-9-2020.pdf,,,,,,,,
"August 12, 2020 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2020/08/Board-Meeting-Minutes-8-12-2020-1.pdf,,,,,,,,
"July 8, 2022  - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2020/07/Board-Meeting-minutes-7-8-2020.pdf,,,,,,,,
"June 10, 2020 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2020/07/Board-Meeting-Minutes-6-10-2020-1.pdf,,,,,,,,
"May 13, 2020 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2020/05/Board-meeting-minutes-5-13-2020.pdf,,,,,,,,
